,idno,language,author-continent,author-country,author-name,title,year,subgenre_hist,subgenre_x,decade
rp0020,rp0020,Portuguese,Europe,Portugal,Botelho,Amanha,1901,not_historical,social,1900
rp0022,rp0022,Portuguese,Europe,Portugal,Botelho,BaraoLavos,1891,not_historical,n.av.,1890
rp0002,rp0002,Portuguese,Europe,Portugal,Braga,Viriato,1904,historical,historical,1900
rp0026,rp0026,Portuguese,Europe,Portugal,Brandao,Humus,1917,not_historical,n.av.,1910
rp0023,rp0023,Portuguese,Europe,Portugal,Brandao,MortePalhaco,1896,not_historical,sentimental,1890
rp0021,rp0021,Portuguese,Europe,Portugal,Brandao,OsPobres,1906,not_historical,n.av.,1900
rp0008,rp0008,Portuguese,Europe,Portugal,Brandão,PeroCovilhan,1897,historical,historical,1890
rp0005,rp0005,Portuguese,Europe,Portugal,Campos,FilhaCabinda,1873,not_historical,social,1870
rp0014,rp0014,Portuguese,Europe,Portugal,CamposJunior,AlaNamorados,1905,historical,historical,1900
rp0009,rp0009,Portuguese,Europe,Portugal,CasteloBranco,AmorPerdicao,1862,not_historical,sentimental,1860
rp0016,rp0016,Portuguese,Europe,Portugal,CasteloBranco,BrasileiraPrazins,1882,not_historical,social,1880
rp0010,rp0010,Portuguese,Europe,Portugal,CasteloBranco,BrilhantesBrasileiro,1869,not_historical,sentimental,1860
rp0015,rp0015,Portuguese,Europe,Portugal,CasteloBranco,CaveiraMartir,1876,historical,historical,1870
rp0013,rp0013,Portuguese,Europe,Portugal,CasteloBranco,OJudeu,1866,historical,historical,1860
rp0006,rp0006,Portuguese,Europe,Portugal,Dinis,FamiliaIngleza,1868,not_historical,social,1860
rp0019,rp0019,Portuguese,Europe,Portugal,Dinis,PupilasSenhorReitor,1866,not_historical,sentimental,1860
rp0017,rp0017,Portuguese,Europe,Portugal,Garrett,ViagensTerraI,1846,not_historical,social,1840
rp0007,rp0007,Portuguese,Europe,Portugal,Herculano,EuricoPresbitero,1844,historical,historical,1840
rp0011,rp0011,Portuguese,Europe,Portugal,Herculano,OBobo,1843,historical,historical,1840
rp0001,rp0001,Portuguese,Europe,Portugal,Macedo,ChristaoNovo,1876,historical,historical,1870
rp0012,rp0012,Portuguese,Europe,Portugal,Mascarenhas,MariaFonte,1873,historical,historical,1870
rp0003,rp0003,Portuguese,Europe,Portugal,Pimentel,AnnelMysterioso,1873,historical,historical,1870
rp0018,rp0018,Portuguese,Europe,Portugal,Queiros,CidadeSerras,1901,not_historical,social,1900
rp0004,rp0004,Portuguese,Europe,Portugal,Queiros,Maias,1888,not_historical,realist,1880
rp0025,rp0025,Portuguese,Europe,Portugal,Queiros,MisterioSintra,1870,not_historical,crime,1870
rp0024,rp0024,Portuguese,Europe,Portugal,Rodrigues,RosaAdro,1870,not_historical,sentimental,1870
